NOC,GDP,Year
South Africa,21004,1984
Singapore,4875,1984
Senegal,847,1984
Saudi Arabia,29612,1984
Samoa,11,1984
Qatar,1644,1984
Puerto Rico,4730,1984
Portugal,6229,1984
Philippines,8833,1984
Peru,4343,1984
Paraguay,1099,1984
Panama,1515,1984
Pakistan,7699,1984
Norway,15354,1984
Nigeria,18184,1984
Niger,346,1984
New Zealand,5350,1984
Netherlands,35680,1984
Namibia,467,1984
Morocco,3655,1984
Mongolia,503,1984
Mexico,45613,1984
Mauritius,245,1984
Malaysia,8390,1984
Luxembourg,1083,1984
Kuwait,5358,1984
Kenya,1517,1984
Jordan,1214,1984
Japan,333311,1984
Jamaica,571,1984
Italy,108687,1984
Israel,7560,1984
Ireland,4964,1984
Iraq,11609,1984
Indonesia,21000,1984
India,52530,1984
Iceland,693,1984
Hungary,5228,1984
Haiti,433,1984
Guyana,92,1984
Guatemala,2329,1984
Grenada,20,1984
Greece,11712,1984
Ghana,1076,1984
Germany,180233,1984
Gabon,866,1984
France,130021,1984
Finland,13078,1984
Fiji,275,1984
Ethiopia,2039,1984
Ecuador,4172,1984
Dominican Republic,2855,1984
Dominica,11,1984
Denmark,14564,1984
Cyprus,548,1984
Cuba,5938,1984
Costa Rica,890,1984
Colombia,9458,1984
China,64366,1984
Chile,4856,1984
Canada,88334,1984
Cameroon,1795,1984
Cabo Verde,16,1984
Burundi,228,1984
Burkina Faso,345,1984
Bulgaria,4341,1984
Brazil,46631,1984
Botswana,291,1984
Bermuda,228,1984
Belgium,20627,1984
Barbados,317,1984
Bahrain,1083,1984
Austria,16756,1984
Australia,47915,1984
Argentina,28941,1984
Algeria,13283,1984
Albania,444,1984
Zimbabwe,1472,1988
Zambia,691,1988
Uzbekistan,2027,1988
Uruguay,1548,1988
United States,1000000,1988
United Arab Emirates,6907,1988
Ukraine,14246,1988
Uganda,1222,1988
Turkmenistan,554,1988
Tunisia,1907,1988
Trinidad and Tobago,838,1988
Tonga,0,1988
Togo,351,1988
Thailand,11756,1988
Tanzania,1394,1988
Switzerland,41142,1988
Sweden,39451,1988
Suriname,201,1988
Sudan,2724,1988
Sri Lanka,1312,1988
Spain,71764,1988
South Africa,19836,1988
Singapore,4824,1988
Senegal,1205,1988
Saudi Arabia,16834,1988
Samoa,5,1988
Romania,7699,1988
Qatar,1132,1988
Puerto Rico,5018,1988
Portugal,10740,1988
Philippines,8220,1988
Peru,2928,1988
Paraguay,792,1988
Panama,1106,1988
Pakistan,7326,1988
Norway,19439,1988
Nigeria,9461,1988
Niger,415,1988
New Zealand,8607,1988
Netherlands,50071,1988
Namibia,456,1988
Morocco,4888,1988
Mongolia,591,1988
Mexico,34662,1988
Mauritius,392,1988
Malaysia,6715,1988
Luxembourg,1778,1988
Lebanon,612,1988
Kuwait,3930,1988
Kenya,1575,1988
Jordan,1178,1988
Japan,596909,1988
Jamaica,710,1988
Italy,170645,1988
Israel,10016,1988
Ireland,7193,1988
Iraq,11950,1988
Indonesia,16078,1988
India,56620,1988
Iceland,1145,1988
Hungary,5652,1988
Haiti,478,1988
Guyana,58,1988
Guatemala,1477,1988
Grenada,24,1988
Greece,14340,1988
Ghana,972,1988
Germany,268558,1988
Georgia,1666,1988
Gabon,711,1988
France,193020,1988
Finland,20803,1988
Fiji,191,1988
Ethiopia,2114,1988
Ecuador,2472,1988
Dominican Republic,1005,1988
Dominica,12,1988
Djibouti,55,1988
Denmark,22044,1988
Cyprus,796,1988
Cuba,5223,1988
Costa Rica,860,1988
Colombia,7468,1988
China,59630,1988
Chile,4953,1988
Canada,97257,1988
Cameroon,2316,1988
Cabo Verde,30,1988
Burundi,186,1988
Burkina Faso,479,1988
Bulgaria,4287,1988
Brazil,58776,1988
Botswana,484,1988
Bermuda,249,1988
Belgium,30974,1988
Barbados,325,1988
Bahrain,783,1988
Austria,25344,1988
Australia,45080,1988
Argentina,24212,1988
Algeria,11264,1988
Albania,371,1988
Zimbabwe,1015,1992
Zambia,467,1992
Uzbekistan,1966,1992
Uruguay,1954,1992
United States,1000000,1992
United Arab Emirates,8298,1992
Ukraine,11320,1992
Uganda,417,1992
Turkmenistan,470,1992
Tunisia,2356,1992
Trinidad and Tobago,813,1992
Tonga,0,1992
Togo,346,1992
Thailand,17073,1992
Tanzania,1004,1992
Tajikistan,272,1992
Switzerland,42911,1992
Sweden,43523,1992
Suriname,41,1992
Sudan,1058,1992
Sri Lanka,1467,1992
Spain,96673,1992
South Africa,22518,1992
Slovenia,2169,1992
Singapore,7975,1992
Senegal,1171,1992
Saudi Arabia,21004,1992
Samoa,0,1992
Romania,3832,1992
Qatar,1152,1992
Puerto Rico,5290,1992
Portugal,16481,1992
Poland,14448,1992
Philippines,9246,1992
Peru,5495,1992
Paraguay,1077,1992
Panama,1213,1992
Pakistan,7477,1992
Norway,20046,1992
North Macedonia,353,1992
Nigeria,7963,1992
Niger,499,1992
New Zealand,6367,1992
Netherlands,55729,1992
Namibia,505,1992
Mozambique,408,1992
Morocco,5149,1992
Mongolia,181,1992
Moldova,335,1992
Mexico,55677,1992
Mauritius,480,1992
Malaysia,9054,1992
Luxembourg,2359,1992
Lebanon,875,1992
Kuwait,3025,1992
Kenya,1238,1992
Kazakhstan,3801,1992
Jordan,794,1992
Japan,610498,1992
Jamaica,521,1992
Italy,202919,1992
Israel,12144,1992
Ireland,8555,1992
Iraq,64,1992
Indonesia,19615,1992
India,44182,1992
Iceland,1065,1992
Hungary,5919,1992
Haiti,325,1992
Guyana,37,1992
Guatemala,1581,1992
Grenada,27,1992
Greece,17557,1992
Ghana,963,1992
Germany,328402,1992
Georgia,545,1992
Gabon,837,1992
France,213111,1992
Finland,17239,1992
Fiji,214,1992
Ethiopia,1629,1992
Eritrea,52,1992
Ecuador,2754,1992
Dominican Republic,1759,1992
Dominica,15,1992
Djibouti,53,1992
Denmark,23440,1992
Cyprus,1039,1992
Cuba,3367,1992
Croatia,1608,1992
Costa Rica,1295,1992
Colombia,8935,1992
China,65455,1992
Chile,7026,1992
Canada,91140,1992
Cameroon,1831,1992
Cabo Verde,34,1992
Burundi,145,1992
Burkina Faso,494,1992
Bulgaria,1567,1992
Brazil,50314,1992
Botswana,615,1992
Bermuda,237,1992
Belgium,35988,1992
Belarus,2577,1992
Barbados,279,1992
Bahrain,808,1992
Azerbaijan,47,1992
Austria,29781,1992
Australia,49905,1992
Armenia,174,1992
Argentina,35067,1992
Algeria,7341,1992
Albania,79,1992
Zimbabwe,1031,1996
Zambia,418,1996
Uzbekistan,1700,1996
Uruguay,2513,1996
United States,1000000,1996
United Arab Emirates,9085,1996
Ukraine,5492,1996
Uganda,721,1996
Turkmenistan,267,1996
Tunisia,2398,1996
Trinidad and Tobago,685,1996
Tonga,0,1996
Togo,228,1996
Thailand,22645,1996
Tanzania,1141,1996
Tajikistan,101,1996
Switzerland,42101,1996
Sweden,36136,1996
Suriname,79,1996
Sudan,1089,1996
Sri Lanka,1694,1996
Spain,79528,1996
South Africa,20192,1996
Slovenia,2632,1996
Singapore,11900,1996
Serbia,2855,1996
Senegal,785,1996
Saudi Arabia,19626,1996
Samoa,3,1996
Romania,4547,1996
Qatar,1094,1996
Puerto Rico,5588,1996
Portugal,15162,1996
Poland,19892,1996
Philippines,11696,1996
Peru,6816,1996
Paraguay,1184,1996
Panama,1111,1996
Pakistan,7816,1996
Norway,20227,1996
North Macedonia,547,1996
Nigeria,22979,1996
Niger,270,1996
New Zealand,8660,1996
Netherlands,55884,1996
Namibia,466,1996
Mozambique,471,1996
Morocco,5318,1996
Mongolia,139,1996
Moldova,182,1996
Mexico,53504,1996
Mauritius,527,1996
Malaysia,12465,1996
Luxembourg,2560,1996
Lithuania,1016,1996
Lebanon,1668,1996
Latvia,690,1996
Kuwait,3873,1996
Kenya,1464,1996
Kazakhstan,2578,1996
Jordan,830,1996
Japan,609839,1996
Jamaica,888,1996
Italy,162835,1996
Israel,14201,1996
Ireland,9360,1996
Iraq,1264,1996
Indonesia,28137,1996
India,48641,1996
Iceland,892,1996
Hungary,5752,1996
Haiti,332,1996
Guyana,59,1996
Guatemala,1914,1996
Grenada,17,1996
Greece,17624,1996
Ghana,831,1996
Germany,310465,1996
Georgia,355,1996
Gabon,677,1996
France,198028,1996
Finland,16322,1996
Fiji,236,1996
Ethiopia,1057,1996
Estonia,565,1996
Eritrea,58,1996
Ecuador,3097,1996
Dominican Republic,2232,1996
Dominica,8,1996
Djibouti,33,1996
Denmark,23196,1996
Cyprus,1212,1996
Cuba,3071,1996
Croatia,2964,1996
Costa Rica,1419,1996
Colombia,12006,1996
China,106966,1996
Chile,9706,1996
Canada,78086,1996
Cameroon,1346,1996
Cabo Verde,34,1996
Burundi,80,1996
Burkina Faso,292,1996
Bulgaria,1495,1996
Brazil,105315,1996
Botswana,572,1996
Bermuda,306,1996
Belgium,34557,1996
Belarus,1800,1996
Barbados,265,1996
Bahrain,831,1996
Azerbaijan,365,1996
Austria,29200,1996
Australia,49687,1996
Armenia,170,1996
Argentina,33684,1996
Algeria,5787,1996
Albania,368,1996
Zimbabwe,632,2000
Zambia,331,2000
Uzbekistan,1322,2000
Uruguay,2206,2000
United States,1000000,2000
United Arab Emirates,10158,2000
Ukraine,3138,2000
Uganda,584,2000
Turkmenistan,263,2000
Tunisia,2074,2000
Trinidad and Tobago,775,2000
Tonga,0,2000
Togo,185,2000
Thailand,12310,2000
Tanzania,1284,2000
Tajikistan,63,2000
Switzerland,27218,2000
Sweden,25627,2000
Suriname,72,2000
Sudan,1175,2000
Sri Lanka,1573,2000
Spain,58327,2000
South Africa,14784,2000
Slovenia,1946,2000
Singapore,9352,2000
Serbia,694,2000
Senegal,566,2000
Saudi Arabia,18467,2000
San Marino,78,2000
Samoa,5,2000
Romania,3614,2000
Qatar,1712,2000
Puerto Rico,5999,2000
Portugal,11550,2000
Poland,16852,2000
Philippines,8142,2000
Peru,5027,2000
Paraguay,843,2000
Panama,1147,2000
Pakistan,9685,2000
Norway,16706,2000
North Macedonia,348,2000
Nigeria,6727,2000
Niger,198,2000
New Zealand,5113,2000
Netherlands,40723,2000
